Année de sortie de Gobelins;Diplôme;Dans quel pays ou quelle région française as-tu travaillé en 2015 ?
2009;CDNL;États-Unis
2012;CRPL;France – Languedoc-Roussillon-Midi-Pyrénées
2010;CRMA;France – Auvergne-Rhône-Alpes
2014;CRMA;Royaume-Uni
2008;MICNI;France – Île-de-France
2012;CDNL;Pays-Bas
2011;MICNI;Canada
2011;CRMA;France
2014;CRMA;France – Auvergne-Rhône-Alpes
2014;IDE;France – Île-de-France
2012;CRMA;France – Provence-Alpes-Côte d'Azur
2010;CRMA;France – Île-de-France
2013;autre;France – Auvergne-Rhône-Alpes
2012;CRMA;France – Île-de-France
2009;CRMA;France – Île-de-France
2009;CRMA;France – Île-de-France
2012;CRMA;Allemagne
2007;CRMA;France – Île-de-France
2011;MICNI;France – Île-de-France
2010;CDNL;France – Île-de-France
2013;CRMA;Suisse
2010;CRMA;France – Île-de-France
2012;CDNL;Pays-Bas
2014;CRMA;France – Auvergne-Rhône-Alpes
2015;CRMA;France – Île-de-France
2015;CRMA;France – Île-de-France
2015;IDE;France – Île-de-France
2012;CRMA;France – Île-de-France
2013;CDNL;Pays-Bas
2012;CRMA;Suède
2009;CRMA;France – Île-de-France
2012;CDNL;France – Île-de-France
2007;CRMA;Nomade (pas de lieu de travail fixe)
2014;CRMA;Japon
2013;CDNL;Pays-Bas
2015;CRMA;Norvège
2005;CDNL;France – Île-de-France
2014;autre;France – Auvergne-Rhône-Alpes
2013;CRMA;France – Auvergne-Rhône-Alpes
2015;MICNI;France – Île-de-France
2005;CRMA;France – Auvergne-Rhône-Alpes
2014;CRMA;Pays-Bas
2015;CRPL;France – Île-de-France
2014;GMD;France – Île-de-France
2010;CRMA;Pays-Bas
2013;CDNL;France – Île-de-France
2011;CRMA;Corée du Sud
2012;CRMA;France – Île-de-France
2007;CDNL;France – Auvergne-Rhône-Alpes
2008;CRMA;France – Île-de-France
2008;CRMA;Russie
2010;CRMA;France – Île-de-France
2006;CDNL;France – Île-de-France
2013;Animateur 3D;France – Île-de-France
2013;CRMA;Espagne
